Bot1,Bot2,Bot3,Bot4,Bot5,fBlood,fT,fD,fB,TK,DK,BK,Win
31,59,555,24,222,1,0,1,0,0,1,0,no
15,80,91,113,58,0,1,0,1,9,3,2,yes
40,58,517,15,121,1,1,0,1,11,3,1,yes
81,64,555,163,350,0,0,1,0,1,1,0,no
58,64,222,7,89,1,1,0,0,10,0,0,yes
555,142,5,266,81,0,0,0,0,0,0,0,no
81,142,111,76,39,1,0,1,1,11,2,1,yes
61,58,99,60,145,0,1,0,0,4,2,0,no
350,58,15,141,84,1,1,0,1,9,1,1,yes
421,43,103,126,145,0,0,1,0,4,2,0,no
126,30,91,89,429,0,0,1,1,3,3,2,no
60,145,26,80,58,1,1,0,0,9,1,0,yes
266,84,59,81,432,0,0,0,1,6,0,1,no
58,517,412,145,120,1,1,1,0,9,3,1,yes
105,421,133,67,117,1,1,1,1,10,3,1,yes
8,145,163,43,126,0,0,0,0,3,0,0,no
497,92,60,236,39,0,0,0,0,1,1,0,no
412,145,517,266,58,1,1,1,1,10,1,1,yes
517,145,5,25,58,1,1,1,0,9,1,0,yes
24,3,113,21,266,0,0,0,0,0,0,0,no
99,68,21,58,11,1,0,0,0,1,0,0,no
157,111,517,64,8,0,1,1,0,4,2,0,yes
58,111,145,157,163,1,0,0,0,6,1,0,no
24,555,15,60,99,0,1,1,1,9,4,1,yes
141,58,145,350,142,1,1,0,1,10,1,1,yes
39,412,119,266,30,0,0,1,0,1,1,0,no
145,121,79,350,161,1,0,1,0,0,3,0,no
163,58,99,91,119,0,1,0,1,11,2,2,yes
497,498,266,161,13,1,0,1,1,9,3,1,yes
85,113,517,40,58,0,1,0,0,3,0,0,no
60,69,145,58,25,0,1,1,1,10,2,1,yes
67,240,412,61,266,1,0,0,0,0,0,0,no
117,28,67,238,78,1,1,0,0,6,0,0,yes
45,126,81,99,421,0,0,0,0,0,0,0,no
266,267,76,98,119,1,1,1,1,6,2,1,yes
39,64,163,67,81,0,0,0,0,1,0,0,no
15,58,91,9,43,1,1,0,1,10,1,2,yes
25,518,145,13,59,0,0,1,0,1,3,0,no
58,57,28,518,119,1,0,0,0,6,2,1,no
412,517,30,24,51,0,1,1,1,7,2,1,yes
11,44,43,555,236,1,0,0,0,0,0,0,no
58,163,107,267,145,0,1,1,0,6,3,0,yes
28,266,15,201,69,0,0,0,0,1,0,0,no
134,58,60,429,12,1,1,1,0,8,1,0,yes
9,30,41,67,91,1,1,0,1,9,2,2,yes
145,203,163,8,13,0,0,1,0,5,4,0,no
25,58,13,145,141,0,1,0,1,7,1,1,yes
142,76,111,498,84,1,0,1,0,6,3,0,no
236,518,267,113,58,0,1,0,0,2,0,0,yes
145,59,9,41,7,1,0,0,0,1,0,0,no
58,13,145,164,25,0,0,0,0,0,0,0,no
238,498,420,497,64,1,1,1,1,10,3,1,yes
80,163,10,203,238,1,0,0,0,4,1,0,no
91,518,40,28,51,0,1,1,1,9,2,1,yes
236,99,39,238,60,1,1,1,0,8,1,0,yes
10,555,3,81,163,0,0,0,0,0,0,0,no
126,35,201,81,84,0,1,1,0,2,2,0,no
60,10,3,79,15,1,0,0,1,10,2,2,yes
7,99,36,498,60,1,1,1,0,8,2,0,yes
26,33,74,10,145,0,0,0,0,0,0,0,no
30,145,12,266,58,0,1,1,0,2,2,0,yes
25,91,10,203,15,1,0,0,0,0,0,0,no
145,350,5,117,10,0,0,0,1,6,1,1,no
64,39,518,201,119,1,1,1,0,7,3,1,yes
412,38,122,421,518,1,1,0,0,3,1,0,no
5,13,78,67,120,0,0,1,1,9,2,1,yes
13,64,29,412,78,1,1,1,0,2,1,0,no
10,90,421,555,81,0,0,0,1,6,2,1,yes
145,266,79,111,164,1,1,1,0,5,1,0,yes
1,64,24,12,81,0,0,0,0,0,0,0,no
122,99,421,67,517,1,1,1,1,10,3,2,yes
164,43,236,86,59,0,0,0,0,2,0,0,no
3,27,145,39,6,0,0,0,0,0,0,0,no
10,517,236,113,412,1,1,1,0,2,2,0,yes
81,43,245,164,24,0,1,1,0,6,2,0,yes
10,6,84,145,111,1,0,0,0,0,0,0,no
203,90,81,3,518,0,1,1,1,8,1,1,no
236,58,121,105,350,1,0,0,0,7,3,1,yes
58,81,497,84,30,1,0,0,0,0,0,0,no
3,45,104,67,164,0,0,0,0,0,0,0,yes
67,117,96,25,72,0,1,0,1,11,1,1,yes
54,145,163,8,350,1,0,1,0,0,1,0,no
58,163,111,30,67,0,1,1,1,8,3,1,yes
26,76,236,517,142,1,0,0,0,1,1,0,no
64,142,81,266,16,1,1,1,0,8,2,0,yes
145,58,163,26,203,0,0,0,0,1,0,0,no
266,236,412,38,92,1,1,0,1,7,0,1,yes
121,164,22,26,223,0,0,1,0,3,2,0,no
13,10,6,145,99,1,0,0,0,4,0,0,no
51,518,39,432,20,0,1,1,1,8,4,1,yes
518,91,81,432,20,1,1,1,0,5,1,0,yes
58,5,84,111,15,0,0,0,0,0,0,0,no
92,84,201,236,120,1,1,0,0,8,1,0,yes
111,39,64,517,67,0,0,1,0,0,1,0,no
126,111,245,157,122,0,1,0,1,3,0,1,no
110,30,41,25,120,1,0,1,0,7,2,0,yes
15,126,64,84,40,0,0,0,0,0,0,0,no
53,145,58,76,517,1,1,1,0,5,1,0,yes
13,56,517,222,9,1,1,0,0,6,2,0,no
4,555,2,67,10,0,0,1,1,10,2,2,yes
103,145,121,58,117,0,0,0,0,2,0,0,no
25,76,238,99,67,1,1,1,0,6,3,0,yes
18,12,121,134,84,0,0,1,0,1,1,0,no
58,13,92,81,26,1,1,0,0,3,1,0,yes
15,39,117,113,164,0,1,1,0,7,1,1,no
81,157,64,3,8,1,0,0,1,9,4,1,yes
64,13,145,99,84,0,0,0,1,8,2,1,no
245,61,58,222,412,1,1,1,0,7,3,1,yes
26,117,96,58,421,0,0,0,0,0,0,0,no
84,44,236,64,13,1,0,0,0,0,0,0,yes
81,517,59,58,555,1,1,0,1,11,1,1,yes
432,42,64,145,39,0,0,1,0,4,3,1,no
67,429,266,76,40,1,0,0,0,2,0,0,no
28,9,92,157,145,0,1,1,0,4,2,0,yes
421,429,412,10,517,1,0,0,0,1,0,0,no
203,13,114,145,3,0,1,1,1,8,3,1,yes
8,266,26,141,81,0,0,0,0,0,0,0,yes
56,518,64,40,67,1,0,0,0,0,0,0,no
69,58,421,43,96,0,0,0,0,2,0,0,no
72,67,236,268,267,1,1,1,0,7,2,0,yes
40,7,59,222,8,0,0,0,0,0,0,0,no
90,92,32,3,145,1,1,1,0,10,2,0,yes
81,201,8,203,85,1,1,0,0,4,1,0,no
145,9,76,13,24,0,0,1,1,3,2,1,yes
163,64,497,145,13,0,0,1,1,10,1,1,yes
92,236,203,39,555,1,1,0,0,3,2,0,no
421,432,81,58,55,1,1,0,0,2,0,0,no
30,517,266,51,53,0,0,1,1,9,3,1,yes
421,16,21,7,13,1,1,0,1,9,0,1,yes
110,92,31,76,201,0,0,1,0,3,3,0,no
203,58,15,517,201,0,1,0,0,7,0,0,yes
111,59,145,245,80,1,0,1,0,0,1,0,no
91,81,59,412,58,0,1,1,0,7,3,1,no
41,3,64,145,517,1,0,0,1,7,2,1,yes
245,120,203,236,201,0,0,1,1,4,2,1,yes
58,267,517,518,79,1,1,0,0,2,0,0,no
236,203,26,58,432,1,1,1,0,11,2,0,yes
143,81,141,74,30,0,0,0,0,0,0,0,no
111,145,107,142,58,0,1,1,1,10,2,1,yes
161,39,81,412,59,1,0,0,0,1,2,0,no
412,21,517,111,120,0,1,1,0,7,2,0,yes
5,432,8,145,142,1,0,0,0,0,0,0,no
103,104,36,111,25,1,1,1,1,6,2,1,no
67,142,223,37,64,0,0,0,0,7,2,1,yes
20,111,145,58,103,1,1,0,0,4,1,0,no
119,163,80,8,412,0,0,1,1,8,2,1,yes
126,58,145,60,3,1,1,1,1,11,2,1,yes
81,13,39,99,76,0,0,0,0,2,1,0,no
58,67,60,223,105,0,0,1,0,1,1,0,no
3,55,145,85,59,1,1,0,0,7,1,0,yes
111,8,22,80,30,1,0,0,0,2,0,0,no
145,236,13,43,64,0,1,1,1,9,2,1,yes
43,84,516,203,119,1,0,1,1,9,3,1,yes
81,39,33,58,25,0,1,0,0,3,0,0,no
86,268,9,254,81,0,0,0,0,3,1,0,no
43,236,59,30,24,1,1,1,1,7,2,1,yes
236,13,41,64,267,1,1,1,1,10,1,1,yes
113,203,222,99,58,0,0,0,0,2,2,1,no
61,13,67,16,120,0,1,1,0,5,2,0,yes
42,421,517,111,22,1,0,0,0,2,1,0,no
